serviceTypeId,name,Synonym1,Synonym2,Synonym3,Synonym4,Synonym5,Synonym6,Synonym7,Synonym8,Synonym9,Synonym10,Synonym11,Synonym12,Synonym13,Synonym14,Synonym15,Synonym16,Synonym17,Synonym18,Synonym19,Synonym20,Synonym21,Synonym22,Synonym23,Synonym24,Synonym25
401,TVB Other,TVB,Other,Other TVB,T V B,Other T V B,T V B,,,,,,,,,,,,,,,,,,,
201,Make a Cash Payment or Apply for a Payment Plan,Make a payment,make a cash payment ,payment plan,cash payment,payment,apply for a payment plan,,,,,,,,,,,,,,,,,,,
